Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
8045000520,361000,0.188,0,0,1054.0,2553,1.0,6,5,1,0,0,1,1,0,1,1.0,3,3.25,1985
8045000681,415000,0.1711,0,0,1054.0,2414,1.0,6,4,0,0,0,0,0,0,1,1.0,4,2.25,1992
7645000550,442000,0.1377,0,0,1351.0,1287,1.0,6,4,0,1,1,0,0,0,2,1.0,3,2.0,1990
7685000530,379000,0.1492,0,0,943.0,1948,1.0,6,4,0,0,0,1,0,0,0,2.0,6,2.0,1981
7685001220,202500,0.1119,0,0,943.0,1336,1.0,6,4,0,0,0,1,0,0,0,2.0,3,1.75,1996
7685001550,290000,0.1492,0,0,943.0,1808,1.0,6,4,0,1,0,0,0,0,0,1.5,3,1.0,1956
7685001730,350000,0.1119,0,0,943.0,1552,1.0,6,5,0,1,0,1,0,0,0,1.5,3,2.25,2003
7685002160,236500,0.1193,0,0,943.0,1120,1.0,6,3,0,1,0,0,0,1,0,1.0,2,1.0,1985
7685002441,357500,0.0672,0,0,943.0,1935,1.0,6,5,0,0,0,0,1,0,1,2.0,4,3.0,2008
7685002570,65000,0.1119,0,0,943.0,1100,1.0,6,4,1,1,0,1,0,1,1,1.0,4,1.0,1971
7685004120,180000,0.0775,0,0,943.0,1719,1.0,5,5,0,1,0,0,0,0,1,1.5,2,2.5,1981
7685004142,220000,0.0385,0,0,943.0,1212,1.0,6,4,0,0,0,1,1,0,0,2.0,3,1.5,2001
7685004490,200000,0.1492,0,0,943.0,1126,1.0,6,3,0,0,0,0,0,0,0,1.5,3,1.75,1994
7685005490,235000,0.1119,0,0,943.0,1184,1.0,5,3,0,0,0,1,0,0,0,1.0,3,1.0,1983
7685005760,376000,0.1492,0,0,943.0,1001,1.0,6,5,1,1,0,1,0,0,0,1.0,3,1.5,1988
7685007260,300000,0.1342,0,0,943.0,992,1.0,6,5,0,1,0,1,0,1,0,1.5,3,1.5,1985
7720000970,596000,0.1569,1,0,1351.0,2444,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2014
7720003380,337500,0.2222,0,0,1351.0,1321,1.0,6,5,0,0,0,1,0,0,1,1.0,2,1.5,1980
8045000710,152500,0.1687,0,0,1054.0,1376,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.5,2000
8045001090,412000,0.1606,0,0,1054.0,1878,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1982
8867090730,374000,0.2963,0,0,149.0,1438,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1990
8880200150,245000,0.2027,0,0,943.0,1557,1.0,6,5,0,0,0,1,0,0,2,1.0,3,1.0,1979
8880800140,316500,0.2727,0,0,943.0,1756,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1995
8900000610,260000,0.0912,0,0,943.0,1679,1.0,6,4,0,0,0,0,0,0,1,1.5,4,1.75,1985
8905000590,244000,0.3443,0,0,943.0,1452,1.0,6,4,0,0,0,1,0,1,0,2.0,3,1.0,1958
8910001430,226000,0.1818,1,0,56.0,2047,1.0,6,2,0,0,0,0,0,0,0,2.5,3,1.5,1946
8910001490,196000,0.1377,0,0,56.0,1362,1.0,6,4,0,0,0,0,0,0,0,2.0,1,1.0,1974
8935012101,179000,0.1893,0,0,943.0,1196,1.0,3,2,0,0,0,0,0,0,0,1.0,3,1.5,1932
8935013430,215000,0.0803,0,0,943.0,1101,1.0,6,4,0,0,0,1,0,0,0,1.5,2,2.0,1964
8935014290,195000,0.0934,0,0,943.0,1096,1.0,4,4,0,0,0,0,0,0,1,1.0,2,1.0,1980
8935015160,390000,0.1283,0,0,943.0,3026,1.0,5,4,0,0,0,0,0,0,0,2.0,4,4.0,1978
8935015670,355000,0.1492,0,0,943.0,2528,1.0,6,4,0,0,0,0,0,0,0,2.0,4,2.0,1983
8935016470,300000,0.1285,0,0,943.0,1448,1.0,6,4,0,0,0,0,0,0,1,1.5,3,1.0,2000
8935016530,334400,0.1492,0,0,943.0,1916,1.0,6,5,0,0,0,0,0,0,0,1.5,3,2.0,1984
8935016991,346000,0.1607,0,0,943.0,2700,1.0,6,5,0,0,0,0,0,0,1,2.0,2,2.25,1992
8935017131,380000,0.1034,0,0,943.0,1421,1.0,6,5,1,1,0,1,0,0,0,1.0,3,1.75,2006
8935017450,279900,0.1939,0,0,943.0,1282,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.75,1990
7745002534,306000,0.19,0,0,5407.0,1824,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2007
7745003195,250000,0.6278,0,0,5407.0,2334,0.825,6,2,0,0,0,0,0,0,1,1.0,5,1.75,1966
7755001152,355000,0.363,0,0,46.0,2409,1.0,6,4,0,0,0,0,0,0,1,2.0,4,2.5,1994
7755011651,285000,0.185,0,0,46.0,1646,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1987
7755011793,290000,0.2467,0,0,46.0,1252,1.0,6,5,0,0,0,1,1,0,0,1.0,3,1.75,1992
7765200210,215500,0.2295,0,0,46.0,1138,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1977
7765200460,260000,0.264,0,0,46.0,1352,1.0,6,4,0,0,0,1,0,0,2,1.0,3,1.0,1980
7765300960,285000,0.3443,0,0,46.0,1300,1.0,6,4,0,0,0,1,0,0,0,1.0,3,2.0,1997
7765301060,250000,0.2112,0,0,46.0,988,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.0,1980
7770001561,275000,0.1377,0,0,943.0,846,1.0,6,4,1,0,0,0,0,1,0,1.0,3,1.0,1995
7770001750,105000,0.1377,0,0,943.0,666,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.0,1992
7770100630,317500,0.1377,0,0,943.0,2238,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.0,1964
7770100982,305000,0.1264,0,0,943.0,1478,0.35,6,4,0,0,0,1,1,0,1,1.0,3,2.0,2018
7770101110,390000,0.1836,0,0,943.0,1768,1.0,6,5,0,1,1,1,0,1,0,1.5,6,2.5,1995
7770101271,145000,0.1377,0,0,943.0,958,1.0,6,4,0,0,0,1,0,0,2,1.0,2,1.0,1966
7770101352,270000,0.1937,0,0,943.0,2496,1.0,4,4,0,1,0,1,0,0,1,2.0,6,3.0,1994
7785000970,260000,0.1434,0,0,943.0,1752,1.0,6,4,0,0,0,0,0,0,0,1.5,3,1.0,1972
7785001432,275000,0.1951,0,0,943.0,1710,1.0,6,5,0,1,0,1,0,0,1,1.5,4,1.0,1985
7785001853,215000,0.2152,0,0,943.0,2589,1.0,6,5,0,0,0,0,0,0,0,2.5,5,2.5,1992
8935018180,355000,0.1492,0,0,943.0,2316,1.0,6,5,0,1,1,1,0,1,1,1.5,6,2.75,1973
8935020820,252000,0.101,0,0,943.0,1096,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1994
8935021520,230000,0.0936,0,0,943.0,1384,1.0,6,4,0,0,0,1,0,0,1,2.0,3,1.5,1983
8935021650,249800,0.1377,0,0,943.0,832,1.0,6,3,1,1,0,1,0,0,0,1.0,1,1.0,1974
8935021960,297000,0.1377,0,0,943.0,708,1.0,6,4,1,1,1,1,0,0,0,1.0,3,2.0,1990
8935023630,420000,0.1492,0,0,943.0,2724,1.0,6,4,0,0,0,0,0,0,1,1.5,4,3.0,1976
8935024930,259000,0.1492,0,0,943.0,1480,1.0,6,3,0,0,0,0,0,0,1,1.0,2,1.0,1980
8935025040,365000,0.1549,0,0,943.0,1838,1.0,6,4,0,0,0,1,0,0,1,2.5,5,2.5,1992
8935025420,247000,0.0569,0,0,943.0,894,1.0,6,3,1,0,0,0,0,1,0,1.0,2,1.0,1989
8935025440,116000,0.1147,0,0,943.0,1796,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.5,1978
8935025550,216500,0.1078,0,0,943.0,1004,1.0,6,4,0,1,0,1,0,0,1,1.0,2,1.0,1962
8935026440,70000,0.0746,0,0,943.0,720,1.0,2,2,0,0,0,1,0,0,0,1.0,3,1.0,1980
8935026600,269000,0.1492,0,0,943.0,1408,1.0,6,4,0,0,0,1,0,0,2,1.5,3,1.75,1959
8935026620,310000,0.1551,0,0,943.0,1864,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.75,1990
8935026920,273000,0.1492,0,0,943.0,780,1.0,6,4,1,1,0,1,0,0,0,1.0,3,2.0,1981
8935027160,275000,0.1283,0,0,943.0,1532,1.0,6,4,0,0,0,1,0,0,1,1.5,2,1.0,1957
8935027540,290000,0.1492,0,0,943.0,1216,1.0,6,4,0,1,0,0,0,0,1,1.5,3,1.0,1978
8935027760,365000,0.1492,0,0,943.0,1906,1.0,6,4,0,1,0,1,0,0,1,1.5,3,1.0,1956
8935027860,180000,0.2238,0,0,943.0,1190,1.0,3,4,1,0,0,1,0,0,0,1.0,4,1.0,1956
8935028970,185400,0.2238,0,0,943.0,2144,0.7,6,4,0,0,0,1,0,0,0,2.0,5,3.0,1980
8935028980,41000,0.1492,0,0,943.0,1317,1.0,5,3,0,0,0,1,0,0,0,1.0,4,1.0,1956
8935029460,205000,0.1492,0,0,943.0,966,1.0,6,4,1,1,0,1,0,0,0,1.0,2,1.0,1990
8940000660,417000,0.21,0,0,1054.0,2364,1.0,6,5,0,0,0,1,1,0,2,2.0,3,2.5,1990
8945001600,761000,0.1377,1,0,56.0,2324,1.0,6,7,0,1,1,1,1,0,1,2.0,3,2.25,1981
8945002480,759000,0.2754,1,0,56.0,2858,1.0,6,5,0,0,0,0,0,0,1,2.0,3,2.25,1960
8965000692,334950,0.1031,0,0,943.0,1838,1.0,6,5,0,0,0,1,1,0,0,2.0,3,2.5,2017
8965000880,166500,0.1262,0,0,943.0,1248,1.0,6,4,0,0,0,1,0,0,0,1.0,3,1.75,1998
8965001010,225000,0.1377,0,0,943.0,1512,1.0,6,4,0,0,0,0,0,0,0,1.0,1,1.0,2002
8970000580,299950,0.2066,0,0,1351.0,1258,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1990
8975001010,164200,0.1452,0,0,943.0,708,1.0,6,4,1,0,0,0,0,0,0,1.0,3,1.75,1980
8975001020,261450,0.1452,0,0,943.0,1160,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1988
8996010750,700000,0.2869,0,1,1275.0,1875,1.0,6,5,0,1,1,1,1,0,2,1.0,4,3.25,1988
8996011020,531326,0.23,0,0,1275.0,2540,1.0,6,6,0,0,0,1,1,0,2,2.0,4,3.0,2000
8996011250,625000,0.2367,0,0,1275.0,1358,1.0,6,5,0,1,1,1,0,0,1,1.0,3,2.0,1987
8996012270,439950,0.2505,1,0,1275.0,1708,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1986
8996012360,435000,0.247,1,0,1275.0,2392,1.0,6,5,0,0,0,1,1,0,2,2.0,4,2.5,1987
9000150060,310000,0.1325,0,0,1351.0,1470,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1993
