Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
6020610600,305000,0.2347,0,0,6433.0,0,1,0,0,0,1280,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1994,1,1,1,1,1
6020610860,357000,0.3209,0,0,6433.0,0,1,0,0,0,1948,1.0,6,5,0,0,0,1,1,0,1,1.5,4,2.5,1994,1,1,1,1,1
6020700200,418000,0.2906,0,0,6433.0,0,0,0,1,0,2306,1.0,6,7,0,0,0,1,1,0,1,1.0,3,2.0,1997,1,0,1,1,0
6020700230,580000,0.26,0,0,6433.0,0,0,0,1,0,3200,1.0,6,9,0,0,0,1,1,0,1,2.0,3,2.5,1994,1,0,1,1,0
6020740080,272000,0.2869,0,0,6433.0,0,0,1,1,0,1514,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1994,1,0,1,1,0
6020740220,274000,0.2876,0,0,6433.0,0,0,1,1,0,1616,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1994,1,0,1,1,0
6020780370,415000,0.5012,0,0,1043.0,0,0,0,0,0,1778,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.5,1994,1,0,1,1,0
6020860010,315000,0.3194,0,0,6433.0,0,1,0,0,0,1035,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1994,1,1,1,1,1
6020890230,415000,0.2479,0,0,4215.0,0,0,0,0,0,1631,1.0,6,6,0,0,0,0,1,0,1,2.0,3,2.25,1994,1,1,1,1,1
6020910390,478400,0.231,0,0,4215.0,0,0,0,0,0,3041,1.0,6,7,0,0,0,1,1,0,1,2.0,4,3.5,1994,1,1,1,1,1
6020910410,455000,0.2295,0,0,4215.0,0,0,0,0,0,2825,1.0,6,7,0,0,0,1,1,0,1,2.0,3,2.5,1997,1,1,1,1,1
6020910480,515000,0.2461,0,0,4215.0,0,0,0,0,0,2547,1.0,6,7,0,0,0,1,1,0,1,2.0,4,2.5,1997,1,1,1,1,1
6020950010,545000,0.3581,1,0,4215.0,0,0,0,0,0,1637,1.0,6,7,0,1,1,1,1,0,1,1.0,3,2.5,1997,1,1,1,1,1
6020980040,420000,0.2348,0,0,4215.0,0,0,0,0,0,2098,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.75,1995,1,1,1,1,1
6021040220,450000,0.2891,0,0,6433.0,0,0,1,1,0,2004,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1995,1,0,1,1,0
6021050160,405000,0.2297,0,0,6433.0,0,1,0,0,0,1790,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1995,1,1,1,1,1
6021060070,340000,0.3152,0,0,6433.0,0,0,0,0,0,1862,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1995,1,1,1,1,1
6021080130,377000,0.3213,0,0,6433.0,0,1,0,0,0,2408,1.0,6,4,0,0,0,0,0,0,1,2.0,3,2.25,2002,1,1,1,1,1
6021100160,385000,0.3342,0,0,6433.0,0,0,1,0,0,2009,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2006,1,0,1,1,1
6021110260,356000,0.3033,0,0,1043.0,0,0,1,0,0,1782,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,0
6021120370,390000,0.3263,0,0,1043.0,0,1,0,0,0,2033,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.0,1995,1,0,1,1,0
6021140560,285000,0.1865,0,0,1043.0,0,0,0,0,0,1524,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1996,1,1,1,1,0
6021170380,329950,0.3914,0,0,6433.0,0,0,0,0,0,1750,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,1
6021180650,360000,0.3533,0,0,1043.0,0,0,1,0,0,2009,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,2002,1,0,1,1,0
6021180870,364000,0.3213,0,0,1043.0,0,0,1,0,0,1887,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,0
6021190070,302000,0.241,0,0,21.0,0,0,0,0,0,1388,1.0,6,5,0,0,0,0,1,0,0,1.0,3,2.0,1995,1,1,1,1,0
6021200240,325000,0.1377,0,0,6433.0,1,0,0,0,0,2377,1.0,6,6,0,0,0,0,1,0,1,2.0,4,2.25,1995,1,0,1,1,0
6021200330,349990,0.1393,0,0,6433.0,1,0,0,0,0,1998,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1996,1,0,1,1,0
6021230020,357500,0.5022,0,0,1043.0,0,0,1,0,0,1942,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,0
6021230100,260000,0.3127,0,0,1043.0,0,0,1,0,0,2129,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,0
6021280190,451000,0.4132,0,0,6433.0,0,0,0,0,0,1847,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.0,1997,1,0,1,1,1
6021330010,470000,0.303,0,0,4215.0,0,1,0,1,0,1718,1.0,6,5,0,1,1,1,1,0,1,1.0,3,1.75,1995,1,1,1,1,0
6021350600,522000,0.2413,0,0,4215.0,0,0,0,0,0,2844,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,2001,1,1,1,1,1
6021360030,339900,0.1904,0,0,6433.0,0,0,0,0,0,1586,1.0,6,5,0,0,0,1,1,0,1,1.0,2,2.0,1996,1,1,1,1,1
6021370060,429950,0.2168,0,0,6433.0,0,0,0,0,0,2194,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,1998,1,0,1,1,0
6021370580,430000,0.2728,0,0,6433.0,0,0,0,0,0,2322,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1996,1,0,1,1,0
6021370650,425000,0.3302,0,0,6433.0,0,0,0,0,0,2142,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,1995,1,0,1,1,0
