Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
8945001230,710000,0.1377,0,0,56.0,2838,1.0,6,4,0,0,0,0,0,0,1,2.0,4,1.75,1975
8945002880,480000,0.1873,0,0,56.0,2194,1.0,6,4,0,0,0,0,0,0,1,2.0,3,1.5,1969
8945002960,505000,0.0826,1,0,56.0,2069,1.0,6,4,0,0,0,0,0,0,1,2.5,3,1.5,1994
8965000960,270000,0.1618,0,0,943.0,2045,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.75,1984
8967210210,193500,0.2134,0,0,6433.0,1243,1.0,6,5,0,0,0,1,0,0,0,1.0,2,2.0,1998
8975000590,62500,0.1767,0,0,943.0,768,1.0,6,4,0,0,0,0,1,0,0,1.0,2,1.0,1980
8996010700,549950,0.2272,0,0,1275.0,2142,1.0,6,7,0,0,0,1,1,0,1,2.0,3,2.5,1994
7310100100,180000,0.1579,0,0,943.0,1266,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,1970
7324800220,285000,0.2341,0,0,1428.0,1104,1.0,6,3,0,0,0,1,1,0,0,1.0,3,1.5,1988
7355400100,328000,0.2564,0,0,1054.0,1812,1.0,6,5,0,0,0,1,1,0,1,2.0,4,1.75,1983
7355400120,402000,0.1463,0,0,1054.0,1402,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,2003
7355400290,330000,0.2121,0,0,1054.0,1144,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1983
7355700470,270000,0.2417,0,0,6433.0,1120,1.0,6,5,0,0,0,1,0,0,0,1.0,3,2.0,2008
7365200380,399950,0.1285,0,0,4215.0,1762,1.0,6,5,0,1,1,1,1,0,1,1.5,4,1.75,1980
7365400200,250000,0.1991,0,0,4215.0,1158,1.0,6,2,0,0,0,0,0,0,1,2.0,2,1.0,1986
7410000791,200000,0.3232,0,0,5407.0,1332,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.75,1985
7410001153,510000,0.396,0,0,5407.0,2656,1.0,6,4,0,0,0,0,0,0,2,1.5,4,2.5,1984
7470010500,155000,0.0959,0,0,943.0,714,1.0,5,4,0,0,0,1,0,1,0,1.0,2,1.0,1961
7470010810,310000,0.1629,0,0,943.0,960,1.0,6,4,1,0,0,1,0,0,1,1.0,3,1.0,2004
7470011300,195000,0.08800000000000001,0,0,943.0,600,1.0,6,3,1,1,0,1,0,0,0,1.0,1,1.0,1998
7470011460,420000,0.1727,0,0,943.0,3426,1.0,5,3,0,1,0,1,0,0,0,2.0,6,4.0,1978
7470012280,245000,0.1629,0,0,943.0,1514,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,1980
7470012330,200000,0.1629,0,0,943.0,636,1.0,6,4,0,1,0,1,0,0,0,1.0,2,1.0,1964
7470012370,230500,0.1564,0,0,943.0,832,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.0,2000
